单元前缀,数量,含义,完整 metric 名
,,,smsp__inst_executed_op_generic_ld_pred_on_any.min.peak_sustained_region
,,,smsp__inst_executed_op_generic_ld_pred_on_any.min.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_ld_pred_on_any.min.per_cycle_active
,,,smsp__inst_executed_op_generic_ld_pred_on_any.min.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_ld_pred_on_any.min.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_ld_pred_on_any.min.per_cycle_in_region
,,,smsp__inst_executed_op_generic_ld_pred_on_any.min.per_second
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.peak_sustained
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.peak_sustained_active
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.peak_sustained_frame
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.peak_sustained_region
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.per_cycle_active
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.per_cycle_in_region
,,,smsp__inst_executed_op_generic_ld_pred_on_any.sum.per_second
,,,smsp__inst_executed_op_generic_st.avg
,,,smsp__inst_executed_op_generic_st.avg.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st.avg.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st.avg.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st.avg.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st.avg.peak_sustained
,,,smsp__inst_executed_op_generic_st.avg.peak_sustained_active
,,,smsp__inst_executed_op_generic_st.avg.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st.avg.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st.avg.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st.avg.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st.avg.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st.avg.peak_sustained_region
,,,smsp__inst_executed_op_generic_st.avg.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st.avg.per_cycle_active
,,,smsp__inst_executed_op_generic_st.avg.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st.avg.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st.avg.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st.avg.per_second
,,,smsp__inst_executed_op_generic_st.max
,,,smsp__inst_executed_op_generic_st.max.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st.max.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st.max.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st.max.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st.max.peak_sustained
,,,smsp__inst_executed_op_generic_st.max.peak_sustained_active
,,,smsp__inst_executed_op_generic_st.max.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st.max.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st.max.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st.max.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st.max.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st.max.peak_sustained_region
,,,smsp__inst_executed_op_generic_st.max.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st.max.per_cycle_active
,,,smsp__inst_executed_op_generic_st.max.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st.max.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st.max.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st.max.per_second
,,,smsp__inst_executed_op_generic_st.min
,,,smsp__inst_executed_op_generic_st.min.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st.min.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st.min.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st.min.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st.min.peak_sustained
,,,smsp__inst_executed_op_generic_st.min.peak_sustained_active
,,,smsp__inst_executed_op_generic_st.min.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st.min.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st.min.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st.min.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st.min.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st.min.peak_sustained_region
,,,smsp__inst_executed_op_generic_st.min.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st.min.per_cycle_active
,,,smsp__inst_executed_op_generic_st.min.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st.min.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st.min.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st.min.per_second
,,,smsp__inst_executed_op_generic_st.sum
,,,smsp__inst_executed_op_generic_st.sum.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st.sum.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st.sum.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st.sum.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st.sum.peak_sustained
,,,smsp__inst_executed_op_generic_st.sum.peak_sustained_active
,,,smsp__inst_executed_op_generic_st.sum.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st.sum.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st.sum.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st.sum.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st.sum.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st.sum.peak_sustained_region
,,,smsp__inst_executed_op_generic_st.sum.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st.sum.per_cycle_active
,,,smsp__inst_executed_op_generic_st.sum.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st.sum.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st.sum.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st.sum.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.peak_sustained
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.per_cycle_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.avg.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.max
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.peak_sustained
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.per_cycle_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.max.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.min
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.peak_sustained
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.per_cycle_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.min.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.peak_sustained
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.per_cycle_active
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st_pred_off_all.sum.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.peak_sustained
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.per_cycle_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.avg.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.max
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.peak_sustained
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.per_cycle_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.max.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.min
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.peak_sustained
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.per_cycle_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.min.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.peak_sustained
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.peak_sustained_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.peak_sustained_active.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.peak_sustained_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.peak_sustained_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.peak_sustained_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.peak_sustained_region.per_second
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.per_cycle_active
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.per_cycle_elapsed
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.per_cycle_in_frame
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.per_cycle_in_region
,,,smsp__inst_executed_op_generic_st_pred_on_any.sum.per_second
,,,smsp__inst_executed_op_global_ld.avg
,,,smsp__inst_executed_op_global_ld.avg.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_global_ld.avg.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld.avg.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_global_ld.avg.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_global_ld.avg.peak_sustained
,,,smsp__inst_executed_op_global_ld.avg.peak_sustained_active
,,,smsp__inst_executed_op_global_ld.avg.peak_sustained_active.per_second
,,,smsp__inst_executed_op_global_ld.avg.peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld.avg.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_global_ld.avg.peak_sustained_frame
,,,smsp__inst_executed_op_global_ld.avg.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_global_ld.avg.peak_sustained_region
,,,smsp__inst_executed_op_global_ld.avg.peak_sustained_region.per_second
,,,smsp__inst_executed_op_global_ld.avg.per_cycle_active
,,,smsp__inst_executed_op_global_ld.avg.per_cycle_elapsed
,,,smsp__inst_executed_op_global_ld.avg.per_cycle_in_frame
,,,smsp__inst_executed_op_global_ld.avg.per_cycle_in_region
,,,smsp__inst_executed_op_global_ld.avg.per_second
,,,smsp__inst_executed_op_global_ld.max
,,,smsp__inst_executed_op_global_ld.max.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_global_ld.max.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld.max.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_global_ld.max.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_global_ld.max.peak_sustained
,,,smsp__inst_executed_op_global_ld.max.peak_sustained_active
,,,smsp__inst_executed_op_global_ld.max.peak_sustained_active.per_second
,,,smsp__inst_executed_op_global_ld.max.peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld.max.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_global_ld.max.peak_sustained_frame
,,,smsp__inst_executed_op_global_ld.max.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_global_ld.max.peak_sustained_region
,,,smsp__inst_executed_op_global_ld.max.peak_sustained_region.per_second
,,,smsp__inst_executed_op_global_ld.max.per_cycle_active
,,,smsp__inst_executed_op_global_ld.max.per_cycle_elapsed
,,,smsp__inst_executed_op_global_ld.max.per_cycle_in_frame
,,,smsp__inst_executed_op_global_ld.max.per_cycle_in_region
,,,smsp__inst_executed_op_global_ld.max.per_second
,,,smsp__inst_executed_op_global_ld.min
,,,smsp__inst_executed_op_global_ld.min.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_global_ld.min.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld.min.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_global_ld.min.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_global_ld.min.peak_sustained
,,,smsp__inst_executed_op_global_ld.min.peak_sustained_active
,,,smsp__inst_executed_op_global_ld.min.peak_sustained_active.per_second
,,,smsp__inst_executed_op_global_ld.min.peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld.min.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_global_ld.min.peak_sustained_frame
,,,smsp__inst_executed_op_global_ld.min.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_global_ld.min.peak_sustained_region
,,,smsp__inst_executed_op_global_ld.min.peak_sustained_region.per_second
,,,smsp__inst_executed_op_global_ld.min.per_cycle_active
,,,smsp__inst_executed_op_global_ld.min.per_cycle_elapsed
,,,smsp__inst_executed_op_global_ld.min.per_cycle_in_frame
,,,smsp__inst_executed_op_global_ld.min.per_cycle_in_region
,,,smsp__inst_executed_op_global_ld.min.per_second
,,,smsp__inst_executed_op_global_ld.sum
,,,smsp__inst_executed_op_global_ld.sum.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_global_ld.sum.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld.sum.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_global_ld.sum.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_global_ld.sum.peak_sustained
,,,smsp__inst_executed_op_global_ld.sum.peak_sustained_active
,,,smsp__inst_executed_op_global_ld.sum.peak_sustained_active.per_second
,,,smsp__inst_executed_op_global_ld.sum.peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld.sum.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_global_ld.sum.peak_sustained_frame
,,,smsp__inst_executed_op_global_ld.sum.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_global_ld.sum.peak_sustained_region
,,,smsp__inst_executed_op_global_ld.sum.peak_sustained_region.per_second
,,,smsp__inst_executed_op_global_ld.sum.per_cycle_active
,,,smsp__inst_executed_op_global_ld.sum.per_cycle_elapsed
,,,smsp__inst_executed_op_global_ld.sum.per_cycle_in_frame
,,,smsp__inst_executed_op_global_ld.sum.per_cycle_in_region
,,,smsp__inst_executed_op_global_ld.sum.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.peak_sustained
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.peak_sustained_active
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.peak_sustained_active.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.peak_sustained_frame
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.peak_sustained_region
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.peak_sustained_region.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.per_cycle_active
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.per_cycle_elapsed
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.per_cycle_in_frame
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.per_cycle_in_region
,,,smsp__inst_executed_op_global_ld_pred_off_all.avg.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.max
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.pct_of_peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.pct_of_peak_sustained_frame
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.pct_of_peak_sustained_region
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.peak_sustained
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.peak_sustained_active
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.peak_sustained_active.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.peak_sustained_elapsed
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.peak_sustained_elapsed.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.peak_sustained_frame
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.peak_sustained_frame.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.peak_sustained_region
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.peak_sustained_region.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.per_cycle_active
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.per_cycle_elapsed
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.per_cycle_in_frame
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.per_cycle_in_region
,,,smsp__inst_executed_op_global_ld_pred_off_all.max.per_second
,,,smsp__inst_executed_op_global_ld_pred_off_all.min
,,,smsp__inst_executed_op_global_ld_pred_off_all.min.pct_of_peak_sustained_active
,,,smsp__inst_executed_op_global_ld_pred_off_all.min.pct_of_peak_sustained_elapsed
